;Source Domain;Target Domain;Title;Metaphor;Example 
1270;reception, getting, possession;perception, perceiving, seeing, smelling, hearing;Perception Is Reception;Perception Is Reception;He gave a pretty spicy account of his adventures.
1271;reception, getting, possession;perception, perceiving, seeing, smelling, hearing;Perception Is Reception;Perception Is Reception;There was a definite Spanish flavor to the music.
1272;reception, getting, possession;perception, perceiving, seeing, smelling, hearing;Perception Is Reception;Perception Is Reception;I relish every word he says.
1273;reception, getting, possession;perception, perceiving, seeing, smelling, hearing;Perception Is Reception;Perception Is Reception;He didn't mince words.
1274;reception, getting, possession;perception, perceiving, seeing, smelling, hearing;Perception Is Reception;Perception Is Reception;What he said left a bad taste in my mouth.
1275;reception, getting, possession;perception, perceiving, seeing, smelling, hearing;Perception Is Reception;Perception Is Reception;I relish/savor every word that poet writes.
1276;reception, getting, possession;perception, perceiving, seeing, smelling, hearing;Perception Is Reception;Perception Is Reception;His writing style is rather stale.
1277;;;Perception Is Shape Recognition;Perception Is Shape Recognition;I can't figure him out
1278;;;Perception Is Shape Recognition;Perception Is Shape Recognition;I sized him up
1279;;;Perception Is Shape Recognition;Perception Is Shape Recognition;She's a well
1280;;;Perception Is Shape Recognition;Perception Is Shape Recognition;He cuts a splendid figure
1281;;;Perception Is Shape Recognition;Perception Is Shape Recognition;They don't fit my idea of a close couple.
1282;;;Personality Is Material;Personality Is Material;This will test his mettle. (see OED)
1283;;;Personality Is Material;Personality Is Material;He has a heart of gold.
1284;;;Personality Is Material;Personality Is Material;She is made of tougher stuff.
1285;holding;possessing, having, possessions;Possessing Is Holding;Trying To Get Is Trying To Grab;He's been trying to get his hands on the property for years.
1286;holding;possessing, having, possessions;Possessing Is Holding;Ability To Get (purchasing Power) Is Ability To Grab (length Of Reach);A really first
1287;holding;possessing, having, possessions;Possessing Is Holding;Getting Is Grabbing;Land grab
1288;holding;possessing, having, possessions;Possessing Is Holding;Possessing Is Holding;His stock holdings are nicely diversified.
1289;holding;possessing, having, possessions;Possessing Is Holding;Possessing Is Holding;He keeps a tight grip on his valuable stocks.
1290;holding;possessing, having, possessions;Possessing Is Holding;Retaining A Possession Is Retaining A Held Object;Backruptcy does allow you to keep ahold of your car and house.
1291;holding;possessing, having, possessions;Possessing Is Holding;Retaining A Possession Is Retaining A Held Object;Even in backruptcy he managed to hang onto his car collection.
1292;holding;possessing, having, possessions;Possessing Is Holding;Giving Up A Possession Is Letting Go Of A Held Object;I've decided to drop some of my riskier stocks.
1293;holding;possessing, having, possessions;Possessing Is Holding;Giving Up A Possession Is Letting Go Of A Held Object;I'm going to have to let go of some of my property holdings.
1294;holding;possessing, having, possessions;Possessing Is Holding;Giving Up A Possession Is Letting Go Of A Held Object;LA won't release its hold on lucrative water rights.
1295;holding;possessing, having, possessions;Possessing Is Holding;Having Possesions Taken Is Having Held Objects Taken;Bankruptcy can strip you of your stock holdings.
1296;holding;possessing, having, possessions;Possessing Is Holding;Giving Possessions Is Giving Held Objects;Her Aunt's will dropped unexpected assets in her lap.
1297;holding;possessing, having, possessions;Possessing Is Holding;Giving Possessions Is Giving Held Objects;I've handed over all of my property and land to my niece.
1298;constructed object, manufactured object;problem;Problem Is A Constructed Object;Aspects Of Problem Are Components Of Object;Let's look at the make-up of this problem.
1299;constructed object, manufactured object;problem;Problem Is A Constructed Object;Aspects Of Problem Are Components Of Object;Let's look at all the components of the problem.
1300;constructed object, manufactured object;problem;Problem Is A Constructed Object;Aspects Of Problem Are Components Of Object;A lot of factors went into creating this problem.
1301;constructed object, manufactured object;problem;Problem Is A Constructed Object;Investigating Problem Is Disassembling Object;He took the problem apart piece by piece.
1302;constructed object, manufactured object;problem;Problem Is A Constructed Object;Trying To Solve Is Looking For Solution In Object;He tore the problem apart looking for its solution.
1303;tangle, cloth, knot;problem;Problem Is A Tangle;Problem Is A Tangle;A knotty problem.
1304;tangle, cloth, knot;problem;Problem Is A Tangle;Problem Is A Tangle;A tangled problem.
1305;tangle, cloth, knot;problem;Problem Is A Tangle;Solving Is Untangling;He untangled the problem.
1306;tangle, cloth, knot;problem;Problem Is A Tangle;Solving Is Untangling;He unraveled the problem.
1307;target;problem;Problem Is A Target;Presenting Problem Is Setting Up Target;He set up a problem for us.
1308;target;problem;Problem Is A Target;Trying To Solve Problem Is Shooting At Target;The mayor targetted the problem of homelessness.
1309;target;problem;Problem Is A Target;Trying To Solve Problem Is Shooting At Target;He took aim at the problem.
1310;target;problem;Problem Is A Target;Trying To Solve Problem Is Shooting At Target;He spearheaded the investigation.
1311;target;problem;Problem Is A Target;Solving Is Striking A Solution;He hit upon a solution.
1312;target;problem;Problem Is A Target;Solving Is Striking A Solution;He took a stab at the answer.
1313;target;problem;Problem Is A Target;Solving Is Striking A Solution;You hit it right on the head.
1314;;;Properties Are Contents;Properties Are Contents;He doesn't have it in him to be polite to his in
1315;;;Properties Are Contents;Properties Are Contents;He lacks internal/intestinal fortitude.
1316;;;Properties Are Contents;Properties Are Contents;He has a great capacity for learning.
1317;;;Properties Are Physical Properties;Importance Is Centrality;Let's strip away all the unimportant details.
1318;;;Properties Are Physical Properties;Importance Is Centrality;What is central here?
1319;;;Properties Are Physical Properties;Importance Is Centrality;That's just a peripheral issue.
1320;;;Properties Are Physical Properties;Importance Is Interiority;This is the core of the matter
1321;;;Properties Are Physical Properties;Importance Is Size;That's a big discovery.
1322;;;Properties Are Physical Properties;Importance Is Size;He concentrates on little details.
1323;;;Properties Are Physical Properties;Importance Is Size;Let's look at the larger issues.
1324;;;Properties Are Physical Properties;Importance Is Size;That's a monumental discovery.
1325;;;Properties Are Physical Properties;Importance Is Size;Mr. Big
1326;;;Properties Are Physical Properties;Importance Is Size;The big cheese
1327;;;Properties Are Physical Properties;Importance Is Size;He'll never amount to anything.
1328;;;Properties Are Physical Properties;Importance Is Depth;There's a deeper issue here.
1329;;;Properties Are Physical Properties;Importance Is Depth;That's a profound problem.
1330;;;Properties Are Physical Properties;Importance Is Depth;Let's ignore all the details on the surface.
1331;;;Properties Are Physical Properties;Importance Is Depth;These are highly irregular proceedings.
1332;;;Properties Are Physical Properties;Amount Is Length;He's short of money.
1333;;;Properties Are Physical Properties;Amount Is Length;He's long on good looks.
1334;;;Properties Are Physical Properties;Amount Is Length;He's short on intelligence.
1335;;;Properties Are Physical Properties;Amount Is Verticality;The number of people living in poverty went up.
1336;;;Properties Are Physical Properties;Amount Is Verticality;Can you please decrease the number of assignments?
1337;;;Properties Are Physical Properties;Amount Is Weight;He's a heavy smoker.
1338;;;Properties Are Physical Properties;Amount Is Weight;She was always a light drinker.
1339;;;Properties Are Physical Properties;Amount Is Weight;The bulk of the US population will soon be over 40.
1340;;;Properties Are Physical Properties;Amount Is Size;Which of the two classes is bigger?
1341;;;Properties Are Physical Properties;Amount Is Size;He only has a little money.
1342;;;Properties Are Physical Properties;Amount Is Size;I'm not a big eater.
1343;;;Properties Are Physical Properties;Amount Is Size;Do you have anything smaller than a twenty?
1344;;;Properties Are Physical Properties;Amount Is Size;Can you break a twenty?
1345;;;Properties Are Physical Properties;Amount Is Size;I only have small change.
1346;;;Properties Are Physical Properties;Amount Is Size;We don't accept any bill larger than a twenty.
1347;;;Properties Are Possessions;Properties Are Possessions;She has a nice sense of humor.
1348;;;Properties Are Possessions;Properties Are Possessions;He lost his tolerance for alcohol.
1349;;;Properties Are Possessions;Properties Are Possessions;She gained a new equanimity.
1350;;;Properties Are Possessions;Properties Are Possessions;He got his red hair from his mother.
1351;;;Properties Are Possessions;Properties Are Possessions;He gave his son a sense of self-worth.
1352;;;Properties Are Possessions;Properties Are Possessions;He gives his art a certain integrity.
1353;physical manipulation;manipulation;Psychological Forces Are Physical Forces.;Influence Is A Force;He can exert his influence on her.
1354;physical manipulation;manipulation;Psychological Forces Are Physical Forces.;Influence Is A Force;Her influence was strong.
1355;physical manipulation;manipulation;Psychological Forces Are Physical Forces.;Influence Is A Force;She could bend his will.
1356;physical manipulation;manipulation;Psychological Forces Are Physical Forces.;Influence Is A Force;Reagan brought pressure to bear upon his cabinet.
1357;physical manipulation;manipulation;Psychological Forces Are Physical Forces.;Manipulation Is Physical Manipulation;He twisted everyone's emotions.
1358;physical manipulation;manipulation;Psychological Forces Are Physical Forces.;Manipulation Is Physical Manipulation;He shaped the situation to his own liking.
1359;physical manipulation;manipulation;Psychological Forces Are Physical Forces.;Manipulation Is Physical Manipulation;He molded his son into his own image.
1360;physical manipulation;manipulation;Psychological Forces Are Physical Forces.;Manipulation Is Physical Manipulation;She was silly putty in his hands.
1361;physical manipulation;manipulation;Psychological Forces Are Physical Forces.;Manipulation Is Physical Manipulation;She was silly putty in his hands.
1362;physical manipulation;manipulation;Psychological Forces Are Physical Forces.;Manipulation Is Physical Manipulation;He is quite maleable.
1363;physical manipulation;manipulation;Psychological Forces Are Physical Forces.;Manipulation Is Physical Manipulation;His death made quite an impact on us all.
1364;physical manipulation;manipulation;Psychological Forces Are Physical Forces.;Manipulation Is Physical Manipulation;"He's a smooth talker; he knows how to massage anyone's ego."
1365;physical manipulation;manipulation;Psychological Forces Are Physical Forces.;Manipulation Is Physical Manipulation;Thoughts of his beloved nourished his soul.
1366;physical manipulation;manipulation;Psychological Forces Are Physical Forces.;Manipulation Is Physical Manipulation;His pleasant remarks picked me up.
1367;physical manipulation;manipulation;Psychological Forces Are Physical Forces.;Manipulation Is Physical Manipulation;The psychologist really seemed to heal him, she has a magic touch.
1368;;;Rational Is Up;Rational Is Up;The discussion fell to the emotional level, but I raised it back up tothe rational plane.
1369;;;Rational Is Up;Rational Is Up;high
1370;;;Rational Is Up;Rational Is Up;He couldn't rise above his emotions.
1371;;;Rational Is Up;Rational Is Up;high vs. low brow
1372;;;Receiving Serious Thought Is Being On The Mind;Receiving Serious Thought Is Being On The Mind;It seems something is on your mind.
1373;;;Receiving Serious Thought Is Being On The Mind;Receiving Serious Thought Is Being On The Mind;What's on your mind?
1374;;;Receiving Serious Thought Is Being On The Mind;Receiving Serious Thought Is Being On The Mind;It was weighing heavily/*resting lightly on her mind.
1375;;;Receiving Serious Thought Is Being On The Mind;Receiving Serious Thought Is Being On The Mind;Can't get it off my mind.
1376;kinship;properties;Relationship Is Kinship;Relationship Is Kinship;Child of evil
1377;kinship;properties;Relationship Is Kinship;Relationship Is Kinship;Death is the brother of sleep
1378;kinship;properties;Relationship Is Kinship;Relationship Is Kinship;Darkness is light's elder brother
1379;kinship;properties;Relationship Is Kinship;Causes Are Parents, Effects Are Offspring;Age is the mother of sickness
1380;kinship;properties;Relationship Is Kinship;Conditions Are Parents, Results Are Offspring;Filth is the mother of stench
1381;kinship;properties;Relationship Is Kinship;The Subsequent Thing Is The Offspring Of The Initial Thing;May, that modr of mothes glade
1382;burdens, possessions;responsibilities, duties;Responsibilities Are Possessions;Responsibilities Are Possessions;I was the one who got the blame.
1383;burdens, possessions;responsibilities, duties;Responsibilities Are Possessions;Responsibilities Are Possessions;He took all the credit.
1384;burdens, possessions;responsibilities, duties;Responsibilities Are Possessions;Responsibilities Are Possessions;The credit is all yours.
1385;burdens, possessions;responsibilities, duties;Responsibilities Are Possessions;Responsibilities Are Burdens;He was forced to bear the blame for the fire.
1386;burdens, possessions;responsibilities, duties;Responsibilities Are Possessions;Responsibilities Are Burdens;His partners in crime fobbed it all off on him.
1387;burdens, possessions;responsibilities, duties;Responsibilities Are Possessions;Responsibilities Are Burdens;He was left holding the bag.
1388;burdens, possessions;responsibilities, duties;Responsibilities Are Possessions;Responsibilities Are Burdens;I was left saddled with the blame.
1389;burdens, possessions;responsibilities, duties;Responsibilities Are Possessions;Responsibilities Are Attached To Person Held Responsible.;They made the charges stick.
1390;burdens, possessions;responsibilities, duties;Responsibilities Are Possessions;Responsibilities Are Attached To Person Held Responsible.;They pinned the murder on him.
1391;burdens, possessions;responsibilities, duties;Responsibilities Are Possessions;Responsibilities Are Attached To Person Held Responsible.;He's a Teflon president.
1392;burdens, possessions;responsibilities, duties;Responsibilities Are Possessions;Responsibilties Are Placed Near Person Held Responsible;They lay the blame at his door.
1393;burdens, possessions;responsibilities, duties;Responsibilities Are Possessions;Responsibilties Are Placed Near Person Held Responsible;The blame/credit lies with him.
1394;burdens, possessions;responsibilities, duties;Responsibilities Are Possessions;Receiving Credit Or Blame (responsibility) Is Getting Object;The blame fell to me.
1395;burdens, possessions;responsibilities, duties;Responsibilities Are Possessions;Receiving Credit Or Blame (responsibility) Is Getting Object;I was given the credit for it.
1396;burdens, possessions;responsibilities, duties;Responsibilities Are Possessions;Receiving Credit Or Blame (responsibility) Is Getting Object;This time I really bit off more than I could chew.
1397;burdens, possessions;responsibilities, duties;Responsibilities Are Possessions;Receiving Credit Or Blame (responsibility) Is Getting Object;He's a man with too much on his plate (attested)
1398;touching, limbs;seeing, eyes, looking;Seeing Is Touching, Eyes Are Limbs;Looking At Something On Purpose Is Touching It With Eyes Or Glance;I couldn't take my eyes off of him.
1399;touching, limbs;seeing, eyes, looking;Seeing Is Touching, Eyes Are Limbs;Looking At Something On Purpose Is Touching It With Eyes Or Glance;I felt his glance.
1400;touching, limbs;seeing, eyes, looking;Seeing Is Touching, Eyes Are Limbs;Looking At Something On Purpose Is Touching It With Eyes Or Glance;I met his glance with my own.
1401;touching, limbs;seeing, eyes, looking;Seeing Is Touching, Eyes Are Limbs;Discovering By Looking Is Manipulating With Eyes Or Glance;Her eyes picked out a detail in the pattern.
1402;touching, limbs;seeing, eyes, looking;Seeing Is Touching, Eyes Are Limbs;Seeing Something By Accident Is Accidently Touching It With Eyes Or Glance;My eyes happened to fall on the crucial clue.
1403;touching, limbs;seeing, eyes, looking;Seeing Is Touching, Eyes Are Limbs;Seeing Something By Accident Is Accidently Touching It With Eyes Or Glance;My glance happened to fall on the photograph.
1404;touching, limbs;seeing, eyes, looking;Seeing Is Touching, Eyes Are Limbs;Seeing Something By Accident Is Accidently Touching It With Eyes Or Glance;Our eyes met.
1405;;;Self-initiated Change Of State Is Self-propelled Motion;Self-initiated Change Of State Is Self-propelled Motion;He exercised to the point of exhaustion.
1406;;;Sexuality Is An Offensive Weapon;Sexuality Is An Offensive Weapon;She's devastating/ a knockout/ a bombshell
1407;;;Sexuality Is An Offensive Weapon;Sexuality Is An Offensive Weapon;He melts me.
1408;;;Sexuality Is An Offensive Weapon;Sexuality Is An Offensive Weapon;He's a pistol.
1409;containers;form, shape;Shapes Are Containers;Shapes Are Containers;The sketch was in the shape of a heart
1410;containers;form, shape;Shapes Are Containers;Shapes Are Containers;It was a block of chocolate in the form of a cable car.
1411;;;Social Accounting;Achieving Purpose Is Getting Money;He profitted from experience.
1412;;;Social Accounting;Duties Are Debts;We all owe filial obligations.
1413;;;Social Accounting;Rights Are Guarantees;Our rights guarantee us certain freedoms.
1414;;;Social Accounting;Exchanges Of Rights Are Contracts;Social contract.
1415;;;Society Is A Body;Society Is A Body;the health of society
1416;;;Society Is A Body;Society Is A Body;social ills
1417;;;Society Is A Body;Society Is A Body;"social death; the death of society"
1418;;;Society Is A Body;Society Is A Body;social recovry
1419;;;Society Is A Body;Society Is A Body;the nation is in a depression
1420;;;Society Is A Body;Society Is A Body;our society is making great strides
1421;;;Society Is A Body;Society Is A Body;the head of society/ head of state
1422;;;Society Is A Body;Society Is A Body;the body politic
1423;;;Society Is A Body;Society Is A Body;the sick society
1424;;;Society Is A Body;Society Is A Body;social afflictions
1425;;;Society Is A Body;Society Is A Body;nurse our nation back to health
1426;;;Society Is A Body;Society Is A Body;social maddness/insanity
1427;;;Society Is A Body;Society Is A Body;give society a shot in the arm
1428;;;Society Is A Body;Society Is A Body;China finally stood up and was noticed
1429;;;Society Is A Body;Society Is A Body;social paralysis
1430;;;Society Is A Body;Society Is A Body;cancer on society
1431;;;Society Is A Body;Society Is A Body;backbone of society
1432;;;Society Is A Body;Society Is A Body;bowels of society
1433;;;Society Is A Body;Society Is A Body;spies are the eyes and ears of a society
1434;;;Society Is A Body;Society Is A Body;the Voice of America
1435;locations;states;States Are Locations;States Are Locations;He is in love.
1436;locations;states;States Are Locations;States Are Locations;What kind of a state was he in when you saw him?
1437;locations;states;States Are Locations;States Are Locations;She can stay/remain silent for days.
1438;locations;states;States Are Locations;States Are Locations;He is at rest/at play.
1439;locations;states;States Are Locations;States Are Locations;He remained standing.
1440;locations;states;States Are Locations;States Are Locations;He is at a certain stage in his studies.
1441;locations;states;States Are Locations;States Are Locations;What state is the project in?
1442;locations;states;States Are Locations;Purposes Are Destinations;It took him hours to reach a state of perfect concentation.
1443;;;States Are Shapes;States Are Shapes;What shape is the car in?
1444;;;States Are Shapes;States Are Shapes;His prison stay failed to reform him.
1445;;;States Are Shapes;Social Interaction Is Containment In A Prescribed Shape;He doesn't fit in
1446;;;States Are Shapes;Social Interaction Is Containment In A Prescribed Shape;She's a square peg
1447;;;States Are Shapes;Ideal Physical State Is A Canonical Shape;She's getting in shape
1448;;;States Are Shapes;Ideal Physical State Is A Canonical Shape;I'm out of shape
1449;;;States Are Shapes;Ideal Physical State Is A Canonical Shape;He's physically fit
1450;;;States Are Shapes;Change Of State Is Change Of Shape;Shape up!
1451;;;States Are Shapes;Change Of State Is Change Of Shape;He is a conformist
1452;;;States Are Shapes;Change Of State Is Change Of Shape;She's a reformed criminal
1453;;;States Are Shapes;Appropriateness Of A State Is Fittingness;The consequences were fitting
1454;;;States Are Shapes;Appropriateness Of A State Is Fittingness;He let the punishment fit the crime
1455;vision, blindness;strong emotion;Strong Emotion Is Blinding;Strong Emotion Is Blinding;He was blinded by love
1456;vision, blindness;strong emotion;Strong Emotion Is Blinding;Strong Emotion Is Blinding;She was so angry she couldn't see straight
1457;vision, blindness;strong emotion;Strong Emotion Is Blinding;Strong Emotion Is Blinding;My outlook was clouded with grief
1458;vision, blindness;strong emotion;Strong Emotion Is Blinding;Strong Emotion Is Blinding;They were dazzled with excitement
1459;insanity;strong emotion;Strong Emotions Are Madness;Strong Emotions Are Madness;I'm crazy with hate
1460;insanity;strong emotion;Strong Emotions Are Madness;Strong Emotions Are Madness;He's out of his mind with grief
1461;insanity;strong emotion;Strong Emotions Are Madness;Strong Emotions Are Madness;The excitement is driving me over the edge
1462;insanity;strong emotion;Strong Emotions Are Madness;Strong Emotions Are Madness;She's foaming with rage
1463;insanity;strong emotion;Strong Emotions Are Madness;Strong Emotions Are Madness;I'm mad with jealousy
1464;insanity;strong emotion;Strong Emotions Are Madness;Love Is Madness;I'm crazy about him.
1465;insanity;strong emotion;Strong Emotions Are Madness;Love Is Madness;This perfume drives men out of their minds.
1466;insanity;strong emotion;Strong Emotions Are Madness;Love Is Madness;He raves about her.
1467;insanity;strong emotion;Strong Emotions Are Madness;Love Is Madness;I'm just wild about Harry.
1468;insanity;strong emotion;Strong Emotions Are Madness;Love Is Madness;She's gone mad over him.
1469;insanity;strong emotion;Strong Emotions Are Madness;Love Is Madness;She is madly in love.
1470;insanity;strong emotion;Strong Emotions Are Madness;Lust Is Madness;sex-crazed, sex-maniac
1471;;;Subjects Are Areas;Subjects Are Areas;He is working in many areas.
1472;;;Subjects Are Areas;Subjects Are Areas;He is in a difficult field.
1473;;;Subjects Are Areas;Subjects Are Areas;There are many subareas in linguistics.
1474;;;Subjects Are Areas;Research Is Exploration;The scientists forged ahead.
1475;;;Subjects Are Areas;Research Is Exploration;We're reaching uncharted territory,
1476;;;Subjects Are Areas;Research Is Exploration;The theory breaks new ground,
1477;;;Subjects Are Areas;Research Is Exploration;The scientists have covered a lot of ground in the last 100 years.
1478;;;Subjects Are Areas;Research Is Exploration;They are making headway,
1479;;;Subjects Are Areas;Research Is Exploration;There are many new frontiers of science,
1480;;;Subjects Are Areas;Research Is Exploration;This could lead to new fields of research,
1481;;;Subjects Are Areas;Research Is Exploration;That is still a wide open field.
1482;;;Subjects Are Areas;Research Is Exploration;Your dissertation should stake out new territory, preferablyvirgin territory.
1483;;;Subjects Are Areas;Research Is Exploration;The researchers surveyed the new material.
1484;;;Subjects Are Areas;Research Is Exploration;In the search for a cure, they left no stone unturned.
1485;;;Subjects Are Areas;Research Is Exploration;They unearthed new evidence.
1486;;;Subjects Are Areas;Research Is Exploration;They found a goldmine of new material.
1487;;;Subjects Are Areas;Research Is Exploration;They uncovered a few gems in doing their research.
1488;;;Subjects Are Areas;Research Is Exploration;This is a fertile area for research.
1489;;;Subjects Are Areas;Research Is Exploration;This topic would allow you to plow a new area in the field.
1490;;;Subjects Are Areas;Research Is Exploration;This is a barren topic.
1491;;;Subjects Are Areas;Research Is Exploration;The climate is good for producing some solid research.
1492; container; body;The Body Is A Container For The Self;The Body Is A Container For The Self;He's a young man trapped in an old man's body.
1493; container; body;The Body Is A Container For The Self;The Body Is A Container For The Self;He withdraws into himself.
1494; container; body;The Body Is A Container For The Self;The Body Is A Container For The Self;She found a chink in his armor.
1495; container; body;The Body Is A Container For The Self;The Body Is A Container For The Self;Once you get past his rude exterior, you'll find a warm and caring person inside.
1496; container; body;The Body Is A Container For The Self;The Body Is A Container For The Self;He's a beautiful person inside.
1497;transfer;communication;The Conduit Metaphor;The Content Is Contained In The Stimulus;He extracted a lot of ideas from {}.
1498;transfer;communication;The Conduit Metaphor;The Content Is Contained In The Stimulus;He found the knowledge in a new book.
1499;transfer;communication;The Conduit Metaphor;The Content Is Contained In The Stimulus;Your words seem rather hollow.
1500;transfer;communication;The Conduit Metaphor;The Content Is Contained In The Stimulus;That movie/the book was filled with meaning.
1501;transfer;communication;The Conduit Metaphor;The Content Is Contained In The Stimulus;There was a lot of content in {}.
1502;transfer;communication;The Conduit Metaphor;The Content Is Contained In The Stimulus;{} was filled with meaning.
1503;transfer;communication;The Conduit Metaphor;The Content Is Contained In The Stimulus;He put a lot of meaning into {}.
1504;transfer;communication;The Conduit Metaphor;The Content Is Contained In The Stimulus;He packed {} with ideas.
1505;transfer;communication;The Conduit Metaphor;The Content Is Contained In The Stimulus;The poem was bursting with meaning.
1506;transfer;communication;The Conduit Metaphor;The Content Is Contained In The Stimulus;Don't force your meanings into the wrong words.
1507;transfer;communication;The Conduit Metaphor;The Content Is Contained In The Stimulus;Harry does not exactly overload his paragraphs with thought.
1508;transfer;communication;The Conduit Metaphor;The Content Is Contained In The Stimulus;Try to capture your good ideas in words.
1509;transfer;communication;The Conduit Metaphor;The Content Is Contained In The Stimulus;In other words. . .
1510;transfer;communication;The Conduit Metaphor;" The Content Travels Across To The Experiencer; The Experiencer understands the content upon reception.";the message came through from {}.
1511;transfer;communication;The Conduit Metaphor;" The Content Travels Across To The Experiencer; The Experiencer understands the content upon reception.";{} got the idea across to her.
1512;transfer;communication;The Conduit Metaphor;" The Content Travels Across To The Experiencer; The Experiencer understands the content upon reception.";{} sent a clear message to him.
1513;transfer;communication;The Conduit Metaphor;" The Content Travels Across To The Experiencer; The Experiencer understands the content upon reception.";The point didn't get across to her from {}.
1514;transfer;communication;The Conduit Metaphor;" The Content Travels Across To The Experiencer; The Experiencer understands the content upon reception.";He extracted a lot of ideas from the essay.
1515;transfer;communication;The Conduit Metaphor;" The Content Travels Across To The Experiencer; The Experiencer understands the content upon reception.";Susan presented Jane with some unusual ideas.
1516;transfer;communication;The Conduit Metaphor;" The Content Travels Across To The Experiencer; The Experiencer understands the content upon reception.";{} didn't get the feeling across to the audience.
1517;transfer;communication;The Conduit Metaphor;Ideas Are Projectiles, Which The Sender Conveys In Some Manner;Then she threw the question of money at me.
1518;transfer;communication;The Conduit Metaphor;Ideas Are Projectiles, Which The Sender Conveys In Some Manner;He launched the discussion.
1519;transfer;communication;The Conduit Metaphor;Ideas Are Projectiles, Which The Sender Conveys In Some Manner;He heaved the whole issue onto me.
1520;transfer;communication;The Conduit Metaphor;Ideas Are Projectiles, Which The Sender Conveys In Some Manner;He hurled his criticisms at me, one after another.
1521;  physical control	;  control;The Mind Is A Body;Mental Fitness Is Physical Fitness;His mind is strong and supple.
1522;  physical control	;  control;The Mind Is A Body;Mental Fitness Is Physical Fitness;His mind is decaying.
1523;  physical control	;  control;The Mind Is A Body;Mental Fitness Is Physical Fitness;The famous professor could perform astonishing mental feats.
1524;  physical control	;  control;The Mind Is A Body;Mental Fitness Is Physical Fitness;The textbook contained many excercises for the students to practise on in order to get them in shape for the final.
1525;  physical control	;  control;The Mind Is A Body;Mental Fitness Is Physical Fitness;They practise drills all day long.
1526;  physical control	;  control;The Mind Is A Body;Mental Fitness Is Physical Fitness;You have to go through long years of academic training in order to become strong in your field.
1527;  physical control	;  control;The Mind Is A Body;Mental Fitness Is Physical Fitness;In the summer, the mind tends to go flabby.
1528;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;I can handle the situation
1529;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;It's in the palm of my hand
1530;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;He's like putty in my hands
1531;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;She's got command of the situation (from root man=hand)
1532;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;The idea just slipped through my fingers
1533;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;It's getting out of hand
1534;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;I dropped the ball (special case)
1535;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;I washed my hands of it.
1536;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;That topic is too hot to handle
1537;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;I've got my hands full
1538;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;My hands are tied
1539;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;I've got a handle on it
1540;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;Get a grip
1541;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;Give (or lend) me a hand
1542;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;Hired hand, deck hand, old hand
1543;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;He's too heavy
1544;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;I'm all thumbs
1545;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;Treat this with kid gloves
1546;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;He's got the upper hand (with CONTROL IS UP)
1547;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;He overcame his anger.
1548;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;He wrestled with his feelings of jealousy.
1549;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;He struggled with his feelings.
1550;  physical control	;  control;The Mind Is A Body;Mental Control Is Physical Control;He conquered his resentment.
1551;;;The Mind Is A Machine;The Mind Is A Machine;He has a screw loose.
1552;;;The Mind Is A Machine;The Mind Is A Machine;He slipped a cog.
1553;;;The Mind Is A Machine;The Mind Is A Machine;I could see the wheels turning.
1554;;;The Mind Is A Machine;The Mind Is A Machine;He churns out ideas. 
1555;;;The Progress Of External Events Is Forward Motion;The Progress Of External Events Is Forward Motion;Things came to a standstill
1556;;;The Progress Of External Events Is Forward Motion;The Progress Of External Events Is Forward Motion;Things came to a halt
1557;;;The Progress Of External Events Is Forward Motion;The Progress Of External Events Is Forward Motion;Things reached an impasse.
1558;;;The Progress Of External Events Is Forward Motion;The Progress Of External Events Is Forward Motion;Things hit a brick wall.
1559;;;The Progress Of External Events Is Forward Motion;The Progress Of External Events Is Forward Motion;How're things going?
1560;;;The Progress Of External Events Is Forward Motion; Control Over The Progress Of External Events Is Control Over Their Forward Motion;Let's get things/the ball/the wheels moving.
1561;;;The Progress Of External Events Is Forward Motion; Control Over The Progress Of External Events Is Control Over Their Forward Motion;Let's try to slow things down a little.
